MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,199201,254.276,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199202,227.67,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199203,235.536,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199204,221.761,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199205,231.471,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199206,248.93,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199207,280.489,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199208,268.665,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199209,247.35,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199210,232.239,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199211,231.404,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199212,254.585,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199213,2934.374,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199301,257.843,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199302,235.701,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199303,248.032,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199304,222.84,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199305,233.572,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199306,263.642,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199307,299.286,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199308,296.936,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199309,251.004,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199310,237.317,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199311,238.942,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199312,258.782,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199313,3043.897,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199401,274.862,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199402,236.341,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199403,244.742,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199404,228.071,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199405,241.149,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199406,281.196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199407,296.942,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199408,293.669,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199409,253.377,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199410,243.158,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199411,238.846,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199412,256.37,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199413,3088.725,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
